"","x"
"1","6-8"
"2","9-12"
"3","9-12"
"4","9-12"
"5","9-12"
"6","9-12"
"7","9-12"
"8","9-12"
"9","9-12"
"10","9-12"
"11","9-12"
"12","9-12"
"13","9-12"
"14","9-12"
"15","9-12"
"16","9-12"
"17","9-12"
"18","9-12"
"19","9-12"
"20","9-12"
"21","9-12"
"22","9-12"
"23","6-8"
"24","9-12"
"25","9-12"
"26","9-12"
"27","9-12"
"28","9-12"
"29","9-12"
"30","9-12"
"31","9-12"
"32","9-12"
"33","9-12"
"34","9-12"
"35","9-12"
"36","9-12"
"37","9-12"
"38","9-12"
"39","9-12"
"40","9-12"
"41","9-12"
"42",">12"
"43","9-12"
"44",">12"
"45","9-12"
"46","9-12"
"47","9-12"
"48","9-12"
"49","9-12"
"50","9-12"
"51","9-12"
"52","9-12"
"53",">12"
"54","9-12"
"55","9-12"
"56","6-8"
"57","6-8"
"58","9-12"
"59","9-12"
"60","9-12"
"61",">12"
"62",">12"
"63",">12"
"64","9-12"
"65","9-12"
"66","9-12"
"67",">12"
"68",">12"
"69",">12"
"70",">12"
"71",">12"
"72","6-8"
"73","9-12"
"74","9-12"
"75","9-12"
"76","9-12"
"77","9-12"
"78","9-12"
"79",">12"
"80","6-8"
"81","9-12"
"82","9-12"
"83","9-12"
"84","9-12"
"85","9-12"
"86",">12"
"87","9-12"
"88","9-12"
"89",">12"
"90","9-12"
"91","9-12"
"92","9-12"
"93","9-12"
"94","9-12"
"95","9-12"
"96","9-12"
"97","9-12"
"98","9-12"
"99","6-8"
"100","9-12"
"101","9-12"
"102","9-12"
"103","9-12"
"104","9-12"
"105","9-12"
"106","9-12"
"107","6-8"
"108","9-12"
"109","9-12"
"110","9-12"
"111","6-8"
"112","9-12"
"113","9-12"
"114","9-12"
"115","6-8"
"116",">12"
"117",">12"
"118",">12"
"119","6-8"
"120",">12"
"121",">12"
"122","6-8"
"123",">12"
"124","6-8"
"125","9-12"
"126","9-12"
"127","9-12"
"128","9-12"
"129","9-12"
"130",">12"
"131",">12"
"132","6-8"
"133",">12"
"134",">12"
"135",">12"
"136",">12"
"137","9-12"
"138",">12"
"139",">12"
"140",">12"
"141",">12"
"142",">12"
"143",">12"
"144","9-12"
"145","9-12"
"146",">12"
"147",">12"
"148",">12"
"149","9-12"
"150",">12"
"151",">12"
"152","9-12"
"153",">12"
"154",">12"
"155",">12"
"156","6-8"
"157","9-12"
"158","9-12"
"159","9-12"
"160","9-12"
"161","9-12"
"162","9-12"
"163","9-12"
"164","6-8"
"165","6-8"
"166","9-12"
"167","9-12"
"168",">12"
"169",">12"
"170",">12"
"171",">12"
"172",">12"
"173",">12"
"174",">12"
"175",">12"
"176",">12"
"177",">12"
"178",">12"
"179","6-8"
"180","9-12"
"181","9-12"
"182","9-12"
"183","9-12"
"184",">12"
"185","6-8"
"186","9-12"
"187","9-12"
"188",">12"
"189",">12"
"190",">12"
"191",">12"
"192","1-5"
"193",">12"
"194",">12"
"195","1-5"
"196","9-12"
"197","9-12"
"198","9-12"
"199","9-12"
"200","9-12"
"201","9-12"
"202","9-12"
"203","9-12"
"204","9-12"
"205","9-12"
"206","9-12"
"207","9-12"
"208","9-12"
"209","9-12"
"210","9-12"
"211","6-8"
"212","9-12"
"213","6-8"
"214","6-8"
"215","6-8"
"216","6-8"
"217","6-8"
"218","6-8"
"219","6-8"
"220","6-8"
"221","9-12"
"222","6-8"
"223","9-12"
"224","9-12"
"225","9-12"
"226",">12"
"227",">12"
"228",">12"
"229",">12"
"230",">12"
"231","9-12"
"232",">12"
"233",">12"
"234",">12"
"235",">12"
"236",">12"
"237","9-12"
"238","6-8"
"239","9-12"
"240",">12"
"241",">12"
"242",">12"
"243",">12"
"244",">12"
"245","9-12"
"246",">12"
