"","HUC12","npar","col"
"1",20403030303,7,"6-8"
"2",20501010910,10,"9-12"
"3",20501011312,10,"9-12"
"4",20501030704,10,"9-12"
"5",20501050307,10,"9-12"
"6",20501050607,10,"9-12"
"7",20501060502,11,"9-12"
"8",20501070205,11,"9-12"
"9",20501071003,11,"9-12"
"10",20502010709,11,"9-12"
"11",20502040303,9,"9-12"
"12",20502040407,11,"9-12"
"13",20502050607,11,"9-12"
"14",20502060602,11,"9-12"
"15",20502061103,11,"9-12"
"16",20502061207,11,"9-12"
"17",20503010405,11,"9-12"
"18",20503010802,11,"9-12"
"19",20503011001,11,"9-12"
"20",20503020305,11,"9-12"
"21",20503020506,11,"9-12"
"22",20503030802,11,"9-12"
"23",20503040102,8,"6-8"
"24",20503040702,11,"9-12"
"25",20503041204,11,"9-12"
"26",20503050107,11,"9-12"
"27",20503050406,11,"9-12"
"28",20503050505,11,"9-12"
"29",20503050802,11,"9-12"
"30",20503050906,11,"9-12"
"31",20503051007,11,"9-12"
"32",20503051010,11,"9-12"
"33",20503051011,11,"9-12"
"34",20503060504,11,"9-12"
"35",20503060707,11,"9-12"
"36",20503061106,11,"9-12"
"37",20503061107,11,"9-12"
"38",20503061202,11,"9-12"
"39",20503061204,11,"9-12"
"40",20503061304,11,"9-12"
"41",20503061503,11,"9-12"
"42",20503061604,13,">12"
"43",20503061702,11,"9-12"
"44",20503061713,16,">12"
"45",20600010000,12,"9-12"
"46",20600020104,12,"9-12"
"47",20600020203,10,"9-12"
"48",20600020204,12,"9-12"
"49",20600020206,12,"9-12"
"50",20600020207,12,"9-12"
"51",20600020301,12,"9-12"
"52",20600020405,10,"9-12"
"53",20600020406,13,">12"
"54",20600020409,12,"9-12"
"55",20600020411,12,"9-12"
"56",20600020501,7,"6-8"
"57",20600020502,7,"6-8"
"58",20600020609,12,"9-12"
"59",20600030102,10,"9-12"
"60",20600030106,12,"9-12"
"61",20600030301,13,">12"
"62",20600030402,13,">12"
"63",20600030502,13,">12"
"64",20600030602,12,"9-12"
"65",20600030701,12,"9-12"
"66",20600030703,12,"9-12"
"67",20600030805,13,">12"
"68",20600030902,13,">12"
"69",20600031101,13,">12"
"70",20600031102,13,">12"
"71",20600031201,13,">12"
"72",20600031203,7,"6-8"
"73",20600031204,12,"9-12"
"74",20600040101,12,"9-12"
"75",20600040203,12,"9-12"
"76",20600040302,12,"9-12"
"77",20600040401,12,"9-12"
"78",20600050104,10,"9-12"
"79",20600050203,14,">12"
"80",20600050206,7,"6-8"
"81",20600050302,12,"9-12"
"82",20600050402,12,"9-12"
"83",20600050503,12,"9-12"
"84",20600050506,12,"9-12"
"85",20600050508,12,"9-12"
"86",20600060101,13,">12"
"87",20600060202,10,"9-12"
"88",20600060304,12,"9-12"
"89",20600060401,13,">12"
"90",20600060402,12,"9-12"
"91",20600060403,12,"9-12"
"92",20600060502,12,"9-12"
"93",20600060504,12,"9-12"
"94",20600060506,12,"9-12"
"95",20600060601,12,"9-12"
"96",20600060602,12,"9-12"
"97",20600060603,12,"9-12"
"98",20600060604,12,"9-12"
"99",20700010609,8,"6-8"
"100",20700020204,9,"9-12"
"101",20700020205,12,"9-12"
"102",20700020207,12,"9-12"
"103",20700020302,12,"9-12"
"104",20700020402,12,"9-12"
"105",20700020403,12,"9-12"
"106",20700020507,12,"9-12"
"107",20700020708,8,"6-8"
"108",20700020801,12,"9-12"
"109",20700020802,12,"9-12"
"110",20700030106,12,"9-12"
"111",20700030708,8,"6-8"
"112",20700030801,12,"9-12"
"113",20700040305,10,"9-12"
"114",20700040409,9,"9-12"
"115",20700040503,8,"6-8"
"116",20700040504,13,">12"
"117",20700040806,13,">12"
"118",20700040807,13,">12"
"119",20700040908,8,"6-8"
"120",20700041006,13,">12"
"121",20700041009,13,">12"
"122",20700041105,8,"6-8"
"123",20700041106,13,">12"
"124",20700050704,8,"6-8"
"125",20700050801,9,"9-12"
"126",20700051004,9,"9-12"
"127",20700060204,9,"9-12"
"128",20700060503,9,"9-12"
"129",20700070304,9,"9-12"
"130",20700080102,13,">12"
"131",20700080103,13,">12"
"132",20700080302,8,"6-8"
"133",20700080401,13,">12"
"134",20700080403,13,">12"
"135",20700080803,13,">12"
"136",20700081003,13,">12"
"137",20700081004,9,"9-12"
"138",20700081005,13,">12"
"139",20700090102,13,">12"
"140",20700090405,13,">12"
"141",20700090503,13,">12"
"142",20700090601,13,">12"
"143",20700090704,13,">12"
"144",20700100103,11,"9-12"
"145",20700100201,10,"9-12"
"146",20700100204,14,">12"
"147",20700100305,14,">12"
"148",20700100307,14,">12"
"149",20700100402,12,"9-12"
"150",20700100805,14,">12"
"151",20700110102,14,">12"
"152",20700110104,9,"9-12"
"153",20700110106,14,">12"
"154",20700110207,14,">12"
"155",20700110305,14,">12"
"156",20700110903,7,"6-8"
"157",20700111001,12,"9-12"
"158",20801010000,12,"9-12"
"159",20801020204,9,"9-12"
"160",20801020303,12,"9-12"
"161",20801020408,12,"9-12"
"162",20801030502,9,"9-12"
"163",20801030602,9,"9-12"
"164",20801030703,8,"6-8"
"165",20801030906,8,"6-8"
"166",20801040101,11,"9-12"
"167",20801040102,11,"9-12"
"168",20801040104,13,">12"
"169",20801040201,13,">12"
"170",20801040203,13,">12"
"171",20801040303,13,">12"
"172",20801040305,13,">12"
"173",20801040406,13,">12"
"174",20801040504,13,">12"
"175",20801040602,13,">12"
"176",20801040603,13,">12"
"177",20801040703,13,">12"
"178",20801040704,13,">12"
"179",20801050104,8,"6-8"
"180",20801050205,9,"9-12"
"181",20801050301,9,"9-12"
"182",20801050502,11,"9-12"
"183",20801050504,12,"9-12"
"184",20801050604,13,">12"
"185",20801060702,8,"6-8"
"186",20801060803,9,"9-12"
"187",20801060901,11,"9-12"
"188",20801061101,13,">12"
"189",20801061102,13,">12"
"190",20801070102,13,">12"
"191",20801070104,13,">12"
"192",20801070201,5,"1-5"
"193",20801070203,13,">12"
"194",20801070204,13,">12"
"195",20801080101,5,"1-5"
"196",20801080104,12,"9-12"
"197",20801090302,12,"9-12"
"198",20801090401,12,"9-12"
"199",20801090406,12,"9-12"
"200",20801090505,12,"9-12"
"201",20801100206,12,"9-12"
"202",20801100305,12,"9-12"
"203",20801100306,10,"9-12"
"204",20801100307,12,"9-12"
"205",20801100403,10,"9-12"
"206",20801100404,12,"9-12"
"207",20801100405,12,"9-12"
"208",20801100503,12,"9-12"
"209",20801100603,12,"9-12"
"210",20801110303,12,"9-12"
"211",20801110703,7,"6-8"
"212",20801110704,12,"9-12"
"213",20801110801,7,"6-8"
"214",20801110803,7,"6-8"
"215",20801110901,7,"6-8"
"216",20801110902,7,"6-8"
"217",20802010204,8,"6-8"
"218",20802010605,8,"6-8"
"219",20802020105,8,"6-8"
"220",20802020501,8,"6-8"
"221",20802030101,9,"9-12"
"222",20802040102,8,"6-8"
"223",20802040501,9,"9-12"
"224",20802050403,11,"9-12"
"225",20802050607,11,"9-12"
"226",20802060101,12,"9-12"
"227",20802060103,12,"9-12"
"228",20802060201,12,"9-12"
"229",20802060205,13,">12"
"230",20802060302,13,">12"
"231",20802060505,9,"9-12"
"232",20802060605,13,">12"
"233",20802060704,13,">12"
"234",20802060802,13,">12"
"235",20802060804,13,">12"
"236",20802060906,13,">12"
"237",20802070206,9,"9-12"
"238",20802070704,8,"6-8"
"239",20802071001,11,"9-12"
"240",20802071002,12,"9-12"
"241",20802080203,13,">12"
"242",20802080204,13,">12"
"243",20802080205,13,">12"
"244",20802080206,13,">12"
"245",20802080303,12,"9-12"
"246",20802080304,13,">12"
